Apartment Name,latitude,longitude
Penmar Superba by Wiseman,,
Pacific Rose,34.0269636,-118.4140646
"3729 Vinton Ave #203, Los Angeles, CA 90034",,
Maxwell,41.8919322,-93.3996546
Venice Wave by Wiseman,,
Midvale Court Apartments Westwood,,
Midvale Towers,,
10600 Wilshire - Short Term Available,,
10401 Wilshire - PENTHOUSES AVAILABLE,,
"10747 Wilshire Blvd APT 708, Los Angeles, CA 90024",,
2820 Sawtelle Blvd,34.0280213,-118.4327004
Green Park,51.5066192,-0.1429113
"3165 Sawtelle Blvd #2-314, Los Angeles, CA 90066",,
Lincoln Place,40.3678472,-79.9172723
Butler Eighteen by Wiseman,,
"2033 Beloit Ave APT 307, Los Angeles, CA 90025",,
"1650 Sawtelle Blvd #208, Los Angeles, CA 90025",,
1242 McClellan,34.0414101,-118.4693388
Beau on Bundy,,
Seventh West Apartments,37.296627,-120.5003685
Riva,45.8847708,10.8396942
Living at Santa Monica,,
"1352 S Carmelina Ave APT 301, Los Angeles, CA 90025",,
Keystone Apartments,30.416242,-97.7437413
CentrePointe Apartments,45.341858,-75.7626829
"3201 Overland Ave APT 9170, Los Angeles, CA 90034",,
"4108 Del Rey Ave APT 207, Marina Del Rey, CA 90292",,
Jefferson at Marina del Rey,,
"11823 Avon Way APT 6, Los Angeles, CA 90066",,
"2807 Dunleer Pl #2807, Los Angeles, CA 90064",,
"10473 Santa Monica Blvd APT 306, Los Angeles, CA 90025",,
2245 Beverly Glen,34.0491287,-118.4201333
The Culver,34.0305072,-118.3955051
Casa Granada,34.2627912,-118.4986203
Beverlywood Luxury Apartments,,
Museum Terrace,12.9733476,77.602871
Olivia Residence,48.167483,17.152804
